latitude,longitude,var
83.125,-29.75,1.0
83.125,-29.625,1.0
83.125,-29.5,1.0
83.125,-29.375,1.0
83.125,-29.25,1.0
83.125,-29.125,1.0
83.125,-29.0,1.0
83.125,-28.875,1.0
83.125,-28.75,1.0
83.0,-35.0,1.0
83.0,-32.25,1.0
83.0,-32.125,1.0
83.0,-32.0,1.0
83.0,-31.875,1.0
83.0,-31.75,1.0
83.0,-31.625,1.0
83.0,-31.5,1.0
83.0,-31.375,1.0
83.0,-31.25,1.0
83.0,-31.125,1.0
83.0,-31.0,1.0
83.0,-30.875,1.0
83.0,-30.75,1.0
83.0,-30.625,1.0
83.0,-30.5,1.0
83.0,-30.375,1.0
83.0,-30.25,1.0
83.0,-30.125,1.0
83.0,-30.0,1.0
83.0,-29.875,1.0
83.0,-29.75,1.0
83.0,-29.625,1.0
83.0,-29.5,1.0
83.0,-29.375,1.0
83.0,-29.25,1.0
83.0,-29.125,1.0
83.0,-29.0,1.0
83.0,-28.875,1.0
83.0,-28.75,1.0
83.0,-28.625,1.0
83.0,-28.5,1.0
83.0,-28.375,1.0
83.0,-28.25,1.0
83.0,-28.125,1.0
83.0,-28.0,1.0
83.0,-27.875,1.0
83.0,-27.75,1.0
83.0,-27.625,1.0
83.0,-27.5,1.0
83.0,-27.375,1.0
83.0,-27.25,1.0
83.0,-27.125,1.0
83.0,-27.0,1.0
83.0,-26.875,1.0
83.0,-26.75,1.0
83.0,-26.625,1.0
83.0,-26.5,1.0
83.0,-26.375,1.0
83.0,-26.25,1.0
83.0,-26.125,1.0
82.875,-34.5,1.0
82.875,-34.375,1.0
82.875,-34.25,1.0
82.875,-34.125,1.0
82.875,-34.0,1.0
82.875,-33.875,1.0
82.875,-33.75,1.0
82.875,-33.625,1.0
82.875,-33.5,1.0
82.875,-33.375,1.0
82.875,-33.25,1.0
82.875,-33.125,1.0
82.875,-33.0,1.0
82.875,-32.875,1.0
82.875,-32.75,1.0
82.875,-32.625,1.0
82.875,-32.5,1.0
82.875,-32.375,1.0
82.875,-32.25,1.0
82.875,-32.125,1.0
82.875,-32.0,1.0
82.875,-31.875,1.0
82.875,-31.75,1.0
82.875,-31.625,1.0
82.875,-31.5,1.0
82.875,-31.375,1.0
82.875,-31.25,1.0
82.875,-31.125,1.0
82.875,-31.0,1.0
82.875,-30.875,1.0
82.875,-30.75,1.0
82.875,-30.625,1.0
82.875,-30.5,1.0
82.875,-30.375,1.0
82.875,-30.25,1.0
82.875,-30.125,1.0
82.875,-30.0,1.0
82.875,-29.875,1.0
82.875,-29.75,1.0
82.875,-29.625,1.0
82.875,-29.5,1.0
82.875,-29.375,1.0
82.875,-29.25,1.0
82.875,-29.125,1.0
82.875,-29.0,1.0
82.875,-28.875,1.0
82.875,-28.75,1.0
82.875,-28.625,1.0
82.875,-28.5,1.0
82.875,-28.375,1.0
82.875,-28.25,1.0
82.875,-28.125,1.0
82.875,-28.0,1.0
82.875,-27.875,1.0
82.875,-27.75,1.0
82.875,-27.625,1.0
82.875,-27.5,1.0
82.875,-27.375,1.0
82.875,-27.25,1.0
82.875,-27.125,1.0
82.875,-27.0,1.0
82.875,-26.875,1.0
82.875,-26.75,1.0
82.875,-26.625,1.0
82.875,-26.5,1.0
82.875,-26.375,1.0
82.875,-26.25,1.0
82.875,-26.125,1.0
82.875,-26.0,1.0
82.875,-25.875,1.0
82.875,-25.25,1.0
82.875,-25.125,1.0
82.875,-25.0,1.0
82.875,-24.875,1.0
82.875,-24.75,1.0
82.75,-35.0,1.0
82.75,-34.875,1.0
82.75,-34.75,1.0
82.75,-34.625,1.0
82.75,-34.5,1.0
82.75,-34.375,1.0
82.75,-34.25,1.0
82.75,-34.125,1.0
82.75,-34.0,1.0
82.75,-33.875,1.0
82.75,-33.75,1.0
82.75,-33.625,1.0
82.75,-33.5,1.0
82.75,-33.375,1.0
82.75,-33.25,1.0
82.75,-33.125,1.0
82.75,-33.0,1.0
82.75,-32.875,1.0
82.75,-32.75,1.0
82.75,-32.625,1.0
82.75,-32.5,1.0
82.75,-32.375,1.0
82.75,-32.25,1.0
82.75,-32.125,1.0
82.75,-32.0,1.0
82.75,-31.875,1.0
82.75,-31.75,1.0
82.75,-31.625,1.0
82.75,-31.5,1.0
82.75,-31.375,1.0
82.75,-31.25,1.0
82.75,-31.125,1.0
82.75,-31.0,1.0
82.75,-30.875,1.0
82.75,-30.75,1.0
82.75,-30.625,1.0
82.75,-30.5,1.0
82.75,-30.375,1.0
82.75,-30.25,1.0
82.75,-30.125,1.0
82.75,-30.0,1.0
82.75,-29.875,1.0
82.75,-29.75,1.0
82.75,-29.625,1.0
82.75,-29.5,1.0
82.75,-29.375,1.0
82.75,-29.25,1.0
82.75,-29.125,1.0
82.75,-29.0,1.0
82.75,-28.875,1.0
82.75,-28.75,1.0
82.75,-28.625,1.0
82.75,-28.5,1.0
82.75,-28.375,1.0
82.75,-28.25,1.0
82.75,-28.125,1.0
82.75,-28.0,1.0
82.75,-27.875,1.0
82.75,-27.75,1.0
82.75,-27.625,1.0
82.75,-27.5,1.0
82.75,-27.375,1.0
82.75,-27.25,1.0
82.75,-27.125,1.0
82.75,-27.0,1.0
82.75,-26.875,1.0
82.75,-26.75,1.0
82.75,-26.625,1.0
82.75,-26.5,1.0
82.75,-26.375,1.0
82.75,-26.25,1.0
82.75,-26.125,1.0
82.75,-26.0,1.0
82.75,-25.875,1.0
82.75,-25.75,1.0
82.75,-25.625,1.0
82.75,-25.5,1.0
82.75,-25.375,1.0
82.75,-25.25,1.0
82.75,-25.125,1.0
82.75,-25.0,1.0
82.75,-24.875,1.0
82.75,-24.75,1.0
82.75,-24.625,1.0
82.75,-24.5,1.0
82.75,-24.375,1.0
82.75,-24.25,1.0
82.75,-24.125,1.0
82.75,-24.0,1.0
82.75,-23.875,1.0
82.75,-23.75,1.0
82.75,-23.625,1.0
82.75,-23.5,1.0
82.75,-23.375,1.0
82.625,-35.0,1.0
82.625,-34.875,1.0
82.625,-34.75,1.0
82.625,-34.625,1.0
82.625,-34.5,1.0
82.625,-34.375,1.0
82.625,-34.25,1.0
82.625,-34.125,1.0
82.625,-34.0,1.0
82.625,-33.875,1.0
82.625,-33.75,1.0
82.625,-33.625,1.0
82.625,-33.5,1.0
82.625,-33.375,1.0
82.625,-33.25,1.0
82.625,-33.125,1.0
82.625,-33.0,1.0
82.625,-32.875,1.0
82.625,-32.75,1.0
82.625,-32.625,1.0
82.625,-32.5,1.0
82.625,-32.375,1.0
82.625,-32.25,1.0
82.625,-32.125,1.0
82.625,-32.0,1.0
82.625,-31.875,1.0
82.625,-31.75,1.0
82.625,-31.625,1.0
82.625,-31.5,1.0
82.625,-31.375,1.0
82.625,-31.25,1.0
82.625,-31.125,1.0
82.625,-31.0,1.0
82.625,-30.875,1.0
82.625,-30.75,1.0
82.625,-30.625,1.0
82.625,-30.5,1.0
82.625,-30.375,1.0
82.625,-30.25,1.0
82.625,-30.125,1.0
82.625,-30.0,1.0
82.625,-29.875,1.0
82.625,-29.75,1.0
82.625,-29.625,1.0
82.625,-29.5,1.0
82.625,-29.375,1.0
82.625,-29.25,1.0
82.625,-29.125,1.0
82.625,-29.0,1.0
82.625,-28.875,1.0
82.625,-28.75,1.0
82.625,-28.625,1.0
82.625,-28.5,1.0
82.625,-28.375,1.0
82.625,-28.25,1.0
82.625,-28.125,1.0
82.625,-28.0,1.0
82.625,-27.875,1.0
82.625,-27.75,1.0
82.625,-27.625,1.0
82.625,-27.5,1.0
82.625,-27.375,1.0
82.625,-27.25,1.0
82.625,-27.125,1.0
82.625,-27.0,1.0
82.625,-26.875,1.0
82.625,-26.75,1.0
82.625,-26.625,1.0
82.625,-26.5,1.0
82.625,-26.375,1.0
82.625,-26.25,1.0
82.625,-26.125,1.0
82.625,-26.0,1.0
82.625,-25.875,1.0
82.625,-25.75,1.0
82.625,-25.625,1.0
82.625,-25.5,1.0
82.625,-25.375,1.0
82.625,-25.25,1.0
82.625,-25.125,1.0
82.625,-25.0,1.0
82.625,-24.875,1.0
82.625,-24.75,1.0
82.625,-24.625,1.0
82.625,-24.5,1.0
82.625,-24.375,1.0
82.625,-24.25,1.0
82.625,-24.125,1.0
82.625,-24.0,1.0
82.625,-23.875,1.0
82.625,-23.75,1.0
82.625,-23.625,1.0
82.625,-23.5,1.0
82.625,-23.375,1.0
82.625,-23.25,1.0
82.625,-23.125,1.0
82.625,-23.0,1.0
82.625,-22.875,1.0
82.625,-22.75,1.0
82.625,-22.625,1.0
82.625,-22.5,1.0
82.625,-22.375,1.0
82.625,-22.25,1.0
82.5,-35.0,1.0
82.5,-34.875,1.0
82.5,-34.75,1.0
82.5,-34.625,1.0
82.5,-34.5,1.0
82.5,-34.375,1.0
82.5,-34.25,1.0
82.5,-34.125,1.0
82.5,-34.0,1.0
82.5,-33.875,1.0
82.5,-33.75,1.0
82.5,-33.625,1.0
82.5,-33.5,1.0
82.5,-33.375,1.0
82.5,-33.25,1.0
82.5,-33.125,1.0
82.5,-33.0,1.0
82.5,-32.875,1.0
82.5,-32.75,1.0
82.5,-32.625,1.0
82.5,-32.5,1.0
82.5,-32.375,1.0
82.5,-32.25,1.0
82.5,-32.125,1.0
82.5,-32.0,1.0
82.5,-31.875,1.0
82.5,-31.75,1.0
82.5,-31.625,1.0
82.5,-31.5,1.0
82.5,-31.375,1.0
82.5,-31.25,1.0
82.5,-31.125,1.0
82.5,-31.0,1.0
82.5,-30.875,1.0
82.5,-30.75,1.0
82.5,-30.625,1.0
82.5,-30.5,1.0
82.5,-30.375,1.0
82.5,-30.25,1.0
82.5,-30.125,1.0
82.5,-30.0,1.0
82.5,-29.875,1.0
82.5,-29.75,1.0
82.5,-29.625,1.0
82.5,-29.5,1.0
82.5,-29.375,1.0
82.5,-29.25,1.0
82.5,-29.125,1.0
82.5,-29.0,1.0
82.5,-28.875,1.0
82.5,-28.75,1.0
82.5,-28.625,1.0
82.5,-28.5,1.0
82.5,-28.375,1.0
82.5,-28.25,1.0
82.5,-28.125,1.0
82.5,-28.0,1.0
82.5,-27.875,1.0
82.5,-27.75,1.0
82.5,-27.625,1.0
82.5,-27.5,1.0
82.5,-27.375,1.0
82.5,-27.25,1.0
82.5,-27.125,1.0
82.5,-27.0,1.0
82.5,-26.875,1.0
82.5,-26.75,1.0
82.5,-26.625,1.0
82.5,-26.5,1.0
82.5,-26.375,1.0
82.5,-26.25,1.0
82.5,-26.125,1.0
82.5,-26.0,1.0
82.5,-25.875,1.0
82.5,-25.75,1.0
82.5,-25.625,1.0
82.5,-25.5,1.0
82.5,-25.375,1.0
82.5,-25.25,1.0
82.5,-25.125,1.0
82.5,-25.0,1.0
82.5,-24.875,1.0
82.5,-24.75,1.0
82.5,-24.625,1.0
82.5,-24.5,1.0
82.5,-24.375,1.0
82.5,-24.25,1.0
82.5,-24.125,1.0
82.5,-24.0,1.0
82.5,-23.875,1.0
82.5,-23.75,1.0
82.5,-23.625,1.0
82.5,-23.5,1.0
82.5,-23.375,1.0
82.5,-23.25,1.0
82.5,-23.125,1.0
82.5,-23.0,1.0
82.5,-22.875,1.0
82.5,-22.75,1.0
82.5,-22.625,1.0
82.5,-22.5,1.0
82.5,-22.375,1.0
82.5,-22.25,1.0
82.5,-22.125,1.0
82.5,-22.0,1.0
82.375,-35.0,1.0
82.375,-34.875,1.0
82.375,-34.75,1.0
82.375,-34.625,1.0
82.375,-34.5,1.0
82.375,-34.375,1.0
82.375,-34.25,1.0
82.375,-34.125,1.0
82.375,-34.0,1.0
82.375,-33.875,1.0
82.375,-33.75,1.0
82.375,-33.625,1.0
82.375,-33.5,1.0
82.375,-33.375,1.0
82.375,-33.25,1.0
82.375,-33.125,1.0
82.375,-33.0,1.0
82.375,-32.875,1.0
82.375,-32.75,1.0
82.375,-32.625,1.0
82.375,-32.5,1.0
82.375,-32.375,1.0
82.375,-32.25,1.0
82.375,-32.125,1.0
82.375,-32.0,1.0
82.375,-31.875,1.0
82.375,-31.75,1.0
82.375,-31.625,1.0
82.375,-31.5,1.0
82.375,-31.375,1.0
82.375,-31.25,1.0
82.375,-31.125,1.0
82.375,-31.0,1.0
82.375,-30.875,1.0
82.375,-30.75,1.0
82.375,-30.625,1.0
82.375,-30.5,1.0
82.375,-30.375,1.0
82.375,-30.25,1.0
82.375,-30.125,1.0
82.375,-30.0,1.0
82.375,-29.875,1.0
82.375,-29.75,1.0
82.375,-29.625,1.0
82.375,-29.5,1.0
82.375,-29.375,1.0
82.375,-29.25,1.0
82.375,-29.125,1.0
82.375,-29.0,1.0
82.375,-28.875,1.0
82.375,-28.75,1.0
82.375,-28.625,1.0
82.375,-28.5,1.0
82.375,-28.375,1.0
82.375,-28.25,1.0
82.375,-28.125,1.0
82.375,-28.0,1.0
82.375,-27.875,1.0
82.375,-27.75,1.0
82.375,-27.625,1.0
82.375,-27.5,1.0
82.375,-27.375,1.0
82.375,-27.25,1.0
82.375,-27.125,1.0
82.375,-27.0,1.0
82.375,-26.875,1.0
82.375,-26.75,1.0
82.375,-26.625,1.0
82.375,-26.5,1.0
82.375,-26.375,1.0
82.375,-26.25,1.0
82.375,-26.125,1.0
82.375,-26.0,1.0
82.375,-25.875,1.0
82.375,-25.75,1.0
82.375,-25.625,1.0
82.375,-25.5,1.0
82.375,-25.375,1.0
82.375,-25.25,1.0
82.375,-25.125,1.0
82.375,-25.0,1.0
82.375,-24.875,1.0
82.375,-24.75,1.0
82.375,-24.625,1.0
82.375,-24.5,1.0
82.375,-24.375,1.0
82.375,-24.25,1.0
82.375,-24.125,1.0
82.375,-24.0,1.0
82.375,-23.875,1.0
82.375,-23.75,1.0
82.375,-23.625,1.0
82.375,-23.5,1.0
82.375,-23.375,1.0
82.375,-23.25,1.0
82.375,-23.125,1.0
82.375,-23.0,1.0
82.375,-22.875,1.0
82.25,-35.0,1.0
82.25,-34.875,1.0
82.25,-34.75,1.0
82.25,-34.625,1.0
82.25,-34.5,1.0
82.25,-34.375,1.0
82.25,-34.25,1.0
82.25,-34.125,1.0
82.25,-34.0,1.0
82.25,-33.875,1.0
82.25,-33.75,1.0
82.25,-33.625,1.0
82.25,-33.5,1.0
82.25,-33.375,1.0
82.25,-33.25,1.0
82.25,-33.125,1.0
82.25,-33.0,1.0
82.25,-32.875,1.0
82.25,-32.75,1.0
82.25,-32.625,1.0
82.25,-32.5,1.0
82.25,-32.375,1.0
82.25,-32.25,1.0
82.25,-32.125,1.0
82.25,-32.0,1.0
82.25,-31.875,1.0
82.25,-31.75,1.0
82.25,-31.625,1.0
82.25,-31.5,1.0
82.25,-31.375,1.0
82.25,-31.25,1.0
82.25,-31.125,1.0
82.25,-31.0,1.0
82.25,-30.875,1.0
82.25,-30.75,1.0
82.25,-30.625,1.0
82.25,-30.5,1.0
82.25,-30.375,1.0
82.25,-30.25,1.0
82.25,-30.125,1.0
82.25,-30.0,1.0
82.25,-29.875,1.0
82.25,-29.75,1.0
82.25,-29.625,1.0
82.25,-29.5,1.0
82.25,-29.375,1.0
82.25,-29.25,1.0
82.25,-29.125,1.0
82.25,-29.0,1.0
82.25,-28.875,1.0
82.25,-28.75,1.0
82.25,-28.625,1.0
82.25,-28.5,1.0
82.25,-28.375,1.0
82.25,-28.25,1.0
82.25,-28.125,1.0
82.25,-28.0,1.0
82.25,-27.875,1.0
82.25,-27.75,1.0
82.25,-27.625,1.0
82.25,-27.5,1.0
82.25,-27.375,1.0
82.25,-27.25,1.0
82.25,-27.125,1.0
82.25,-27.0,1.0
82.25,-26.875,1.0
82.25,-26.75,1.0
82.25,-26.625,1.0
82.25,-26.5,1.0
82.25,-26.375,1.0
82.25,-26.25,1.0
82.25,-26.125,1.0
82.25,-26.0,1.0
82.25,-25.875,1.0
82.25,-25.75,1.0
82.25,-25.625,1.0
82.25,-25.5,1.0
82.25,-25.375,1.0
82.25,-25.25,1.0
82.25,-25.125,1.0
82.25,-25.0,1.0
82.25,-24.875,1.0
82.25,-24.75,1.0
82.25,-24.625,1.0
82.25,-24.5,1.0
82.25,-24.375,1.0
82.25,-24.25,1.0
82.25,-24.125,1.0
82.25,-24.0,1.0
82.25,-23.875,1.0
82.25,-23.75,1.0
82.25,-23.625,1.0
82.25,-23.5,1.0
82.25,-23.375,1.0
82.25,-23.25,1.0
82.25,-23.125,1.0
82.25,-23.0,1.0
82.125,-35.0,1.0
82.125,-34.875,1.0
82.125,-34.75,1.0
82.125,-34.625,1.0
82.125,-34.5,1.0
82.125,-34.375,1.0
82.125,-34.25,1.0
82.125,-34.125,1.0
82.125,-34.0,1.0
82.125,-33.875,1.0
82.125,-33.75,1.0
82.125,-33.625,1.0
82.125,-33.5,1.0
82.125,-33.375,1.0
82.125,-33.25,1.0
82.125,-33.125,1.0
82.125,-33.0,1.0
82.125,-32.875,1.0
82.125,-32.75,1.0
82.125,-32.625,1.0
82.125,-32.5,1.0
82.125,-32.375,1.0
82.125,-32.25,1.0
82.125,-32.125,1.0
82.125,-32.0,1.0
82.125,-31.875,1.0
82.125,-31.75,1.0
82.125,-31.625,1.0
82.125,-31.5,1.0
82.125,-31.375,1.0
82.125,-31.25,1.0
82.125,-31.125,1.0
82.125,-31.0,1.0
82.125,-30.875,1.0
82.125,-30.75,1.0
82.125,-30.625,1.0
82.125,-30.5,1.0
82.125,-30.375,1.0
82.125,-30.25,1.0
82.125,-30.125,1.0
82.125,-30.0,1.0
82.125,-29.875,1.0
82.125,-29.75,1.0
82.125,-29.625,1.0
82.125,-29.5,1.0
82.125,-27.125,1.0
82.125,-27.0,1.0
82.125,-26.875,1.0
82.125,-26.75,1.0
82.125,-26.625,1.0
82.125,-26.5,1.0
82.125,-26.375,1.0
82.125,-26.25,1.0
82.0,-35.0,1.0
82.0,-34.875,1.0
82.0,-34.75,1.0
82.0,-34.625,1.0
82.0,-34.5,1.0
82.0,-34.375,1.0
82.0,-34.25,1.0
82.0,-34.125,1.0
82.0,-34.0,1.0
82.0,-33.875,1.0
82.0,-33.75,1.0
82.0,-33.625,1.0
82.0,-28.375,1.0
82.0,-28.25,1.0
82.0,-28.125,1.0
82.0,-28.0,1.0
82.0,-27.875,1.0
82.0,-27.75,1.0
82.0,-27.625,1.0
82.0,-27.5,1.0
82.0,-27.375,1.0
82.0,-27.25,1.0
82.0,-27.125,1.0
82.0,-27.0,1.0
82.0,-26.875,1.0
82.0,-26.75,1.0
82.0,-26.625,1.0
82.0,-26.5,1.0
82.0,-26.375,1.0
82.0,-26.25,1.0
82.0,-26.125,1.0
82.0,-26.0,1.0
81.875,-35.0,1.0
81.875,-34.875,1.0
81.875,-34.75,1.0
81.875,-34.625,1.0
81.875,-34.5,1.0
81.875,-34.375,1.0
81.875,-34.25,1.0
81.875,-34.125,1.0
81.875,-34.0,1.0
81.875,-33.875,1.0
81.875,-33.75,1.0
81.875,-33.625,1.0
81.875,-33.5,1.0
81.875,-30.75,1.0
81.875,-30.625,1.0
81.875,-30.5,1.0
81.875,-30.375,1.0
81.875,-30.25,1.0
81.875,-30.125,1.0
81.875,-30.0,1.0
81.875,-29.875,1.0
81.875,-29.75,1.0
81.875,-29.625,1.0
81.875,-29.5,1.0
81.875,-29.375,1.0
81.875,-29.25,1.0
81.875,-29.125,1.0
81.875,-29.0,1.0
81.875,-28.875,1.0
81.875,-28.75,1.0
81.875,-28.625,1.0
81.875,-28.5,1.0
81.875,-28.375,1.0
81.875,-28.25,1.0
81.875,-28.125,1.0
81.875,-28.0,1.0
81.875,-27.875,1.0
81.875,-27.75,1.0
81.875,-27.625,1.0
81.875,-27.5,1.0
81.875,-27.375,1.0
81.875,-27.25,1.0
81.875,-27.125,1.0
81.875,-27.0,1.0
81.875,-26.875,1.0
81.875,-26.75,1.0
81.875,-26.625,1.0
81.75,-35.0,1.0
81.75,-34.875,1.0
81.75,-34.75,1.0
81.75,-34.625,1.0
81.75,-34.5,1.0
81.75,-34.375,1.0
81.75,-34.25,1.0
81.75,-34.125,1.0
81.75,-34.0,1.0
81.75,-31.875,1.0
81.75,-31.75,1.0
81.75,-31.625,1.0
81.75,-31.5,1.0
81.75,-31.375,1.0
81.75,-31.25,1.0
81.75,-31.125,1.0
81.75,-31.0,1.0
81.75,-30.875,1.0
81.75,-30.75,1.0
81.75,-30.625,1.0
81.75,-30.5,1.0
81.75,-30.375,1.0
81.75,-30.25,1.0
81.75,-30.125,1.0
81.75,-30.0,1.0
81.75,-29.875,1.0
81.75,-29.75,1.0
81.75,-29.625,1.0
81.75,-29.5,1.0
81.75,-29.375,1.0
81.75,-29.25,1.0
81.75,-29.125,1.0
81.75,-29.0,1.0
81.75,-28.875,1.0
81.75,-28.75,1.0
81.75,-28.625,1.0
81.75,-28.5,1.0
81.75,-28.375,1.0
81.75,-28.25,1.0
81.75,-28.125,1.0
81.75,-28.0,1.0
81.75,-27.875,1.0
81.75,-27.75,1.0
81.75,-27.625,1.0
81.75,-27.5,1.0
81.75,-27.375,1.0
81.75,-27.25,1.0
81.75,-27.125,1.0
81.75,-27.0,1.0
81.75,-26.875,1.0
